BlockName(eg:OML150),CompanyName,Lease_Type,Date_Of_Award(eg:yyyy/MM/dd)
OPL451,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL451,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL451,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL451,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL453,CAVENDISH PETROLEUM NIGERIA LIMITED,,
OPL453,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL458,JAPEX,,
OPL458,DEMINEX,,
OPL458,CONSOLIDATED OIL COMPANY LIMITED,,
OPL458,E.A. NG SERVICES,,
OPL458,DEMINEX,,
OPL460,DEMINEX,,
OPL460,DEMINEX,,
OPL460,DEMINEX,,
OPL460,DEMINEX,,
OPL460,PEAK PETROLEUM INDUSTRIES NIGERIA LIMITED,,
OPL465,E.A. NG SERVICES,,
OPL468,JAPEX,,
OPL469,JAPEX,,
OPL472,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL472,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL474,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL474,JEREZ ENERGY INC,,
OPL474,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OPL474,TENNECO,,
OPL474,JEREZ ENERGY INC,,
OPL474,NIGERIAN BITUMEN CORPORATION,,
OPL80,DEMINEX,,
OPL90,OXY PETROLEUM,,
OPL90,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL90,OXY PETROLEUM,,
OPL90,OXY PETROLEUM,,
OPL90,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL90,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL91,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL91,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL93,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL93,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL93,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL93,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL94,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL94,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL94,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL94,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
