Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
ABITEYE-11,Oil Producer,DEV,2844,May 04/72,,
ABITEYE-12,Not Applicable,EXP,3520,Jan 10/75,,
ABITEYE-13,Oil Producer,DEV,2357,Aug 27/78,,
ABITEYE-14,Not Applicable,ORD APP,3412,Apr 08/79,,
ABITEYE-15,Not Applicable,ORD APP,3575,May 30/79,,
ABITEYE-16,Oil Producer,DEV,3033,Aug 24/79,,
ABITEYE-17,Oil Producer,DEV,2661,Nov 04/79,,
ABITEYE-18,Oil Producer,DEV,2719,Dec 04/79,,
ABITEYE-19,Oil Producer,DEV,2454,Feb 21/80,,
ABITEYE-2,Not Applicable,ORD APP,2957,Dec 31/70,,
ABITEYE-20,Oil Producer,DEV,2378,Apr 09/80,,
ABITEYE-21,Oil Producer,DEV,2819,May 17/80,,
ABITEYE-22,Oil Producer,DEV,2470,Jun 13/80,,
ABITEYE-23,Oil Producer,DEV,2739,Sep 09/80,,
ABITEYE-24,Oil Producer,DEV,2212,Jul 10/91,,
ABITEYE-25,Oil Producer,DEV,3527,Jun 16/95,,
ABITEYE-26,Oil Producer,DEV,2603,Mar 29/98,,
ABITEYE-3,Oil Producer,DEV,3019,Feb 11/71,,
ABITEYE-4,Oil Producer,DEV,2957,Mar 23/71,,
ABITEYE-5,Oil Producer,DEV,2992,Apr 14/71,,
ABITEYE-6,Oil Producer,DEV,2728,Sep 11/71,,
ABITEYE-7,Oil Producer,DEV,2908,Oct 05/71,,
ABITEYE-8,Oil Producer,DEV,2909,Oct 22/71,,
ABITEYE-9,Oil Producer,DEV,2859,Dec 23/71,,
ABO NORTH-1,Not Applicable,EXP,2065,Nov 13/98,,
ABO-1,Not Applicable,EXP,3003,Nov 15/95,,
ABO-10,Oil Producer,DEV,2630,Dec 02/06,,
ABO-11DIR,Oil Producer,DEV,,Jul 13/08,,
ABO-1ST1,Not Applicable,EXP,3010,Jan 01/96,,
ABO-2,Not Applicable,EXP,2400,Jun 07/96,,
ABO-3,Not Applicable,ORD APP,2045,Nov 16/00,,
ABO-4 DIR,Oil Producer,DEV,2170,Jul 22/02,,
ABO-4 DIR ST1,Oil Producer,DEV,2290,Aug 05/02,,
ABO-4H,Oil Producer,DEV,2695,Aug 25/02,,
ABO-5,Water Injector,DEV,3000,Sep 10/02,,
ABO-6,Water Injector,DEV,2621,Oct 09/02,,
ABO-7,Water Injector,DEV,3348,Dec 08/02,,
ABO-8,Not Applicable,ORD APP,2365,Apr 26/05,,
ABO-9,Water Injector,DEV,,Apr 15/08,,
ABOH-1,Not Applicable,EXP,4022.5,Sep 26/61,,
ABRAKA-1,Not Applicable,EXP,2488,Nov 05/66,,
ABRAKA-1ST1,Not Applicable,EXP,3911,Nov 22/66,,
ABUGO-1,Not Applicable,EXP,2502,Dec 18/84,,
ABURA SOUTHEAST-1,Not Applicable,EXP,4385,Sep 17/95,,
ABURA SOUTHEAST-2,Not Applicable,ORD APP,3704,Sep 16/96,,
ABURA-1,Not Applicable,EXP,4338.2,Dec 26/73,,
ABURA-10,Oil Producer,DEV,3763,Sep 24/04,,
ABURA-10ST,Oil Producer,DEV,3960,Jan 31/05,,
ABURA-2,Not Applicable,ORD APP,3794.8,Apr 15/74,,
ABURA-3,Not Applicable,ORD APP,4267.8,Nov 06/74,,
ABURA-4,Oil Producer,DEV,4043.2,Sep 07/79,,
ABURA-5,Oil Producer,DEV,4086.2,Dec 30/79,,
ABURA-6,Oil Producer,DEV,4100,Apr 15/90,,
ABURA-7,Oil Producer,DEV,3853.4,Sep 25/92,,
ABURA-8,Oil Producer,DEV,3539,May 27/97,,
ABURA-9,Oil Producer,DEV,3489,Sep 14/03,,
ACHIRA-1,Not Applicable,EXP,3550,Mar 07/84,,
ACHIRA-2,Not Applicable,ORD APP,3490,Jun 29/84,EX. AKPABO-1,
ACHIRA-2ST1,Not Applicable,ORD APP,3738,Aug 07/84,,
ADAGBASSA CREEK-1,Not Applicable,EXP,3516.8,Aug 23/71,,
ADAGBASSA CREEK-2,Not Applicable,ORD APP,3041.9,Jun 24/74,,
ADAGBASSA CREEK-3,Not Applicable,ORD APP,3319,Sep 23/75,,
ADAKA-1,Not Applicable,EXP,2694,Dec 06/96,,
ADANGA ADSI-3A,Oil Producer,DEV,,,,
ADANGA NORTH HORST-10H,Oil Producer,DEV,2889.17MD,11.04.2009,,
ADANGA NORTH HORST-11H,Oil Producer,DEV,2889.20MD,14.04.2009,,
ADANGA NORTH HORST-11HST,Oil Producer,DEV,2909.93MD,14.04.2009,,
ADANGA NORTH HORST-9H,Oil Producer,DEV,2414.63 MD,18.04.2009,,
ADANGA NORTH HORST WEST-1,Not Applicable,EXP,,Dec 22/05,,
ADANGA NORTH HORST WEST-1ST1,Not Applicable,EXP,2500,,,
ADANGA NORTH HORST-12H,Oil Producer,DEV,2737,10.04.2010,,
