Field_Name,Block_Name,Zone_Name
UTAPATE SOUTH,OML 13,
UTAPATE WEST,OML 13,
UTE ERUMU,OML 5,
UTINE,OML 104,
UTIP,OML 104,
UTONANA,OML 49,
UTOROGU,OML 34,
UTUE,OML 67,
UWANA / MW,OML101,
UWANA / MZ,OML 101,
UWEM,OML 100,
UZERE EAST,OML 28,
UZERE NORTH,OML 28,
UZERE WEST,OML 30,
UZU,OML 28,
UZUAKU,OML 28,
WARRI RIVER,OML 34,
WEST ISAN,OML 49,
YEYE,OML 64,
YOHO,OML 104,
YOKURU,OML 11,
YORLA,OML 11,
YORLA SOUTH,OML 51,
ZABAZABA,OML 245,
ZARAMA,OML 28,
TURMALINA,BLOCK B,
TURQUESA,BLOCK B,
HIPOCAMPO,BLOCK E,
OPALO EAST,BLOCKB,
AKINBONI,CONCESSION II,
DAKALO,CONCESSION II,
GBOGJI,CONCESSION II,
LATAKO,CONCESSION II,
LATAKO EAST,CONCESSION II,
OLOGBUN,CONCESSION II,
BENIN WEST,OML1,
BINIWEI,OML1,
OKI,OML1,
POLOGBENE,OML1,
TONJOR,OML1,
LI,OML101,
LL,OML101,
MD,OML101,
NZAM,OML106,
EDIK,OML12,
ITUK,OML12,
URUAN,OML12,
DAVY BANK,OML14,
MBO,OML14,
OKPOSO EAST,OML14,
STUBB CREEK,OML14,
TOM SHOT BANK,OML14,
UDA,OML14,
EGBOLOM,OML23,
ERISEKIRI,OML23,
ISIA,OML23,
SANGAMATORU,OML23,
SOKU NORTH,OML23,
SOKU WEST,OML23,
TEMA,OML23,
UDEDUMA CREEK,OML23,
AMESHI,OML39,
EKORO,OML44,
OBOTE,OML44,
ATALA,OML46,
OBUOR,OML48,
ADOFI,OML5,
NEMOMAI,OML5,
EBE,OML50,
DAWES ISLAND,OML54,
ELEBELE CREEK,OML54,
OGBAKIRI,OML54,
OGBELLE,OML54,
SAKA CREEK,OML54,
AMOJI,OML56,
ASE RIVER,OML56,
EBENDO,OML56,
EDIAGBOR,OML56,
EMU,OML56,
IGBOLO,OML56,
IGBUKU,OML56,
MATSOGO,OML56,
OBETIM,OML56,
OBODETI,OML56,
OBODO,OML56,
OBODUGWA,OML56,
UMUSADEGE,OML56,
UMUSADEGE NORTH,OML56,
UMUSATI,OML56,
UMUSATI NORTHEAST,OML56,
UTAGBA,OML56,
ABUGO,OML57,
EKOKOR SOUTH,OML57,
JATUMI EAST,OML57,
OKPOKO SOUTH,OML57,
OKPOKO WEST,OML57,
OMADINO,OML57,
SEAGULL,OML57,
UPOKITI NORTH,OML57,
UPOMAMI SOUTH,OML57,
ATA WEST,OML69,
ALO,OML7,
IGBARIAM,OML7,
HJ SOUTH,OML78,
EF,OML81,
EG,OML81,
LOBIA,OML84,
ATO NORTHWEST,OML87,
BENTU,OML87,
EZE,OML87,
AKEPO,OML90,
UGUEME,OPL000,
ORASHI,OPL118,
ANIEZE,OPL143,
OKW,OPL143,
OKWUIBOME,OPL143,
EWO,OPL210,
ENGULE,OPL211,
OBERAN,OPL211,
UDORO,OPL211,
APARO,OPL213,
IKIJA,OPL216,
ATABILA,OPL217,
EKOLI,OPL217,
GBIGIRI,OPL218,
NNWA,OPL218,
SEHKI,OPL218,
DORO,OPL219,
EBITEMI,OPL220,
EFERE,OPL222,
OKPOK,OPL222,
IBAT,OPL224,
UFON,OPL224,
ABAJI OKOLO,OPL225,
ODUM,OPL225,
OFRIMA NORTH,OPL225,
SHOKOLOKO,OPL225,
UDELE,OPL225,
UGO,OPL225,
BARRACUDA,OPL229,
SAKIRI,OPL229,
ABANA,OPL230,
CROSS RIVER,OPL230,
EFIAT,OPL230,
OBIO,OPL230,
KA,OPL237,
HI,OPL238,
EGINA SOUTH,OPL246,
KURO,OPL246,
PREOWEI,OPL246,
ANIEZE-WEST,OML143,
AJE,OML113,
ABO,OML125,
ABO NORTH,OPL316,
KEREMO,OPL33A,
KEREMO WEST,OPL33A,
KURUKUNAMA,OPL33A,
OWOPELE,OPL33B,
UWHUTEME,OPL33B,
IKILIBI,OPL35A,
IWEWORO,OPL35A,
AGHIGHO,OPL35B,
JATUMI,OPL35B,
UPOMAMI,OPL35B,
UBETA,OPL35C,
UMUDIOGA,OPL35C,
OCHEKU RIVER,OPL38,
IHANDIAGU,OPL39,
ALADE,OPL40,
ANAMBRA RIVER,OPL41,
AL BARKA,OPL418,
BULTE,OPL418,
FALTU,OPL418,
KADARU,OPL418,
KASADE,OPL418,
GUBIO SOUTHWEST,OPL419,
NGAMA EAST,OPL419,
NGOR NORTH,OPL419,
KANADI,OPL422,
KEMAR,OPL422,
KINASAR,OPL422,
KRUMTA,OPL422,
SA,OPL422,
TUMA,OPL422,
WADI,OPL422,
ZIYE,OPL422,
ATU,OPL444,
AJIRE,OPL447,
IJI,OPL447,
ODA RIVER,OPL447,
OKPO,OPL447,
ADAOBI,OPL448,
BENIN,OPL449,
ORE,OPL449,
OWAN,OPL449,
ANUA,OPL451,
DIMNEZE,OPL451,
IKONO,OPL451,
UMUNA,OPL451,
OPE,OPL453,
UBA,OPL453,
AKARINO,OPL458,
AMABILO,OPL458,
AMATU,OPL458,
ENE,OPL458,
ODUK,OPL458,
AJAMABRI,OPL460,
AZIAMA,OPL460,
IKUBIO,OPL460,
OROBIRI,OPL460,
PREYE,OPL460,
TORIYE,OPL465,
NGO,OPL468,
IKURU,OPL469,
ALAPU,OPL472,
BALA,OPL472,
ARAROMI,OPL474,
AYIDI,OPL474,
GBEKEBO,OPL474,
ISE,OPL474,
LONLA,OPL474,
LONLA WEST,OPL474,
FORUPA,OPL80,
ASHA,OPL90,
NDA WEST,OPL90,
NKELU,OPL90,
NWANZA,OPL90,
OKPORO,OPL90,
SENGI,OPL90,
IFIOK,OPL91,
OKPOHO,OPL91,
AFIANDO,OPL93,
AMENAM,OPL93,
EKOM,OPL93,
IKIKE,OPL93,
ARAN,OPL94,
AWAWA,OPL94,
ENIN,OPL94,
OBUFA,OPL94,
OKUK,OPL94,
UTINE,OPL94,
UTIP,OPL94,
EDIKAN,OPL95,
IBIOM,OPL95,
MBARA,OPL95,
NKARIKA,OPL95,
ODUDU,OPL95,
UDEME,OPL95,
USORO,OPL95,
UWEM,OPL95,
IDORENYIN,OPL96,
ISANTIM,OPL96,
UWANA,OPL96,
YOM,OPL96,
AKAKAN,OPL97,
AKAMBA,OPL97,
ASASA WEST,OPL97,
EDIDIANA,OPL97,
IBORO,OPL97,
MBAMBA,OPL97,
MFONISO,OPL97,
OFON,OPL97,
UDIANA,OPL97,
UKPEME,OPL97,
USIERE,OPL97,
ADANGA NORTH,OPL98,
ADANGA SOUTHWEST,OPL98,
AKAM,OPL98,
EBUGHU EAST,OPL98,
EBUGHU NORTH,OPL98,
